52	7 	24
24	36 	
		
0	171 	
1	171 	
2	171 	
3	171 	
4	119 	
5	119 	
6	119 	
7	119 	
8	143 	
9	167 	
10	167 	
11	167 	
12	167 	
13	139 	
14	139 	
15	139 	
16	139 	
17	174 	
18	208 	
19	208 	
20	208 	
21	232 	
22	257 	
23	257 	
24	257 	
25	257 	
26	235 	
27	235 	
28	235 	
29	235 	
30	208 	
31	181 	
32	181 	
33	181 	
34	181 	
35	195 	
36	195 	
37	195 	
38	195 	
39	192 	
40	188 	
41	188 	
42	188 	
43	188 	
44	146 	
45	146 	
46	146 	
47	146 	
48	162 	
49	177 	
50	177 	
51	177 	
